epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,787.254,0.90156,4.20283,1.33483,0.61819,0.14332,0.18475,0.1573,0.69951,3.84125,1.17116,0.00010063,0.00010063,0.00010063
2,1518.57,0.84855,3.57769,1.28952,0.46458,0.42782,0.40139,0.33795,0.6882,3.0452,1.1402,0.000194976,0.000194976,0.000194976
3,2273.9,0.83151,2.98419,1.27167,0.57846,0.5994,0.67497,0.56216,0.73715,2.71518,1.16874,0.000282656,0.000282656,0.000282656
4,2993.73,0.81929,2.56759,1.24652,0.70108,0.71167,0.80966,0.67526,0.69406,2.45157,1.15239,0.000273003,0.000273003,0.000273003
5,3791.12,0.77419,2.2225,1.204,0.75636,0.74335,0.81002,0.70109,0.64464,2.06461,1.07872,0.000263004,0.000263004,0.000263004
6,4508.1,0.74989,1.93774,1.18481,0.78014,0.8404,0.90899,0.79749,0.62248,1.76205,1.05822,0.000253005,0.000253005,0.000253005
7,5250.66,0.71123,1.73681,1.16064,0.79808,0.87552,0.92165,0.79136,0.63098,1.67297,1.069,0.000243006,0.000243006,0.000243006
8,5883.76,0.68925,1.58197,1.13753,0.80919,0.88022,0.93007,0.80731,0.60365,1.55561,1.04469,0.000233007,0.000233007,0.000233007
9,6427.94,0.67215,1.45172,1.12984,0.85543,0.86484,0.94321,0.81386,0.59971,1.59504,1.04676,0.000223008,0.000223008,0.000223008
10,7248.38,0.65651,1.36583,1.11941,0.86122,0.91157,0.95141,0.82418,0.59163,1.37498,1.05867,0.000213009,0.000213009,0.000213009
11,8011.53,0.64236,1.24147,1.09995,0.895,0.8974,0.96231,0.83473,0.57218,1.37259,1.03304,0.00020301,0.00020301,0.00020301
12,8733.72,0.61665,1.22595,1.08424,0.87706,0.93806,0.9565,0.84333,0.54955,1.34083,1.00349,0.000193011,0.000193011,0.000193011
13,9430.27,0.61681,1.13969,1.08392,0.88934,0.93288,0.95777,0.8433,0.55843,1.23772,1.01029,0.000183012,0.000183012,0.000183012
14,10057.2,0.60926,1.09611,1.08368,0.84973,0.93028,0.95621,0.82778,0.56809,1.22736,1.0085,0.000173013,0.000173013,0.000173013
15,10698,0.57677,1.06081,1.06231,0.89021,0.89949,0.95812,0.82014,0.56885,1.25997,1.0257,0.000163014,0.000163014,0.000163014
16,11345.6,0.56893,1.03155,1.05094,0.90979,0.86294,0.94872,0.83224,0.55818,1.18837,1.00952,0.000153015,0.000153015,0.000153015
17,11987.9,0.57372,0.99096,1.05836,0.90398,0.92811,0.9636,0.85326,0.56008,1.0826,1.03442,0.000143016,0.000143016,0.000143016
18,12614,0.56452,0.97931,1.05938,0.90695,0.9092,0.95946,0.83823,0.56044,1.1417,1.01754,0.000133017,0.000133017,0.000133017
19,13350.6,0.54291,0.96811,1.04961,0.85669,0.91964,0.9515,0.83363,0.5754,1.14044,1.03034,0.000123018,0.000123018,0.000123018
20,13984,0.52751,0.91619,1.03511,0.89602,0.93255,0.95713,0.83436,0.5567,1.05485,1.00893,0.000113019,0.000113019,0.000113019
21,14656.9,0.4223,1.03853,0.98028,0.91049,0.90828,0.95246,0.84845,0.53492,1.15585,1.01431,0.00010302,0.00010302,0.00010302
22,15343.5,0.40788,0.96366,0.95771,0.90792,0.92252,0.95076,0.83963,0.54345,1.11597,1.02471,9.3021e-05,9.3021e-05,9.3021e-05
23,15931.8,0.39071,0.91006,0.952,0.91709,0.92409,0.95417,0.84433,0.53225,1.02246,1.0137,8.3022e-05,8.3022e-05,8.3022e-05
24,16503.6,0.38962,0.88913,0.95248,0.92444,0.92361,0.95665,0.84116,0.53345,1.02173,1.00388,7.3023e-05,7.3023e-05,7.3023e-05
25,17096.8,0.37049,0.84664,0.93625,0.91329,0.93277,0.94889,0.84007,0.51532,1.03126,0.99038,6.3024e-05,6.3024e-05,6.3024e-05
26,17617.3,0.36737,0.82267,0.93132,0.9245,0.91949,0.95117,0.84901,0.50775,0.97823,0.9877,5.3025e-05,5.3025e-05,5.3025e-05
27,18162.9,0.35122,0.81042,0.91911,0.92422,0.91158,0.9509,0.84003,0.49827,0.99589,0.97333,4.3026e-05,4.3026e-05,4.3026e-05
28,18911,0.34607,0.79492,0.91625,0.92953,0.91337,0.95112,0.84084,0.5033,0.97539,0.98164,3.3027e-05,3.3027e-05,3.3027e-05
29,19583,0.33876,0.7731,0.90884,0.92373,0.9167,0.94892,0.83995,0.49728,0.97062,0.98105,2.3028e-05,2.3028e-05,2.3028e-05
30,20213.9,0.33305,0.77395,0.91385,0.9153,0.91948,0.9476,0.84008,0.49535,0.95146,0.97183,1.3029e-05,1.3029e-05,1.3029e-05
